gemeente,pop_total,hh_total,pon_dealers,total_dealers,pon_share,dealers_per_100k,pon_dealers_per_100k,coverage_category,market_size_score,kids_0_15_pct,age_25_44_pct,income_norm,density_norm,cluster
Hedel,5130.0,2190.0,1,1,1.0,19.49317738791423,19.49317738791423,High_Coverage,0.008179470008609968,0.15886939571150097,0.21734892787524365,0.1939655172413793,0.04771219595169247,4
Heel,4565.0,1810.0,1,1,1.0,21.90580503833516,21.90580503833516,High_Coverage,0.0072786122006441535,0.10514786418400876,0.19715224534501644,0.1520935960591133,0.03495492430685491,4
Heelsum,3525.0,1785.0,0,1,0.0,28.368794326241133,0.0,Underserved,0.005620396058547785,0.1148936170212766,0.17446808510638298,0.15825123152709358,0.08224187787038612,1
Heemskerk,8295.0,3990.0,2,3,0.6666666666666666,36.166365280289334,24.110910186859556,High_Coverage,0.013225868171816703,0.10059158704391688,0.22022317975312408,0.18380541871921183,0.23090661677155977,1
Heemstede,10800.0,5030.0,2,3,0.6666666666666666,27.77777777777778,18.51851851851852,High_Coverage,0.017219936860231513,0.18762520032051283,0.18098958333333331,0.40578817733990147,0.1753699608777003,0
Heenvliet,2480.0,1095.0,1,1,1.0,40.32258064516129,40.32258064516129,High_Coverage,0.00395420772346057,0.1310483870967742,0.21975806451612903,0.12807881773399016,0.03538016669501616,1
Heerde,11940.0,5065.0,1,2,0.5,16.750418760469014,8.375209380234507,High_Coverage,0.01903759686214484,0.15201005025125627,0.19430485762144054,0.1915024630541872,0.06268072801496853,1
Heerenveen,20975.0,10160.0,4,7,0.5714285714285714,33.373063170441,19.07032181168057,High_Coverage,0.03344334959660703,0.14360832358355388,0.22535188545378598,0.15554187192118227,0.11299540738220785,2
Heerhugowaard,39815.0,17460.0,1,6,0.16666666666666666,15.069697350244882,2.5116162250408136,Good_Coverage,0.063482572786122,0.1565399898121286,0.24079398744663935,0.15671182266009853,0.14451862561660148,1
Heerlen,25220.0,13640.0,2,6,0.3333333333333333,23.79064234734338,7.930214115781126,High_Coverage,0.04021174144583692,0.1285562079432743,0.24442585029982108,0.07040229885057471,0.17369734081759938,2
Heesch,13910.0,5760.0,1,1,1.0,7.1890726096333575,7.1890726096333575,High_Coverage,0.02217864090053892,0.16103522645578722,0.23687994248741912,0.19642857142857142,0.08156149004932811,1
Heeswijk Dinther,8550.0,3555.0,2,3,0.6666666666666666,35.08771929824561,23.391812865497077,High_Coverage,0.013632450014349947,0.13625730994152047,0.20350877192982456,0.21120689655172414,0.04822248681748597,1
Heeten,3715.0,1525.0,0,1,0.0,26.917900403768503,0.0,Underserved,0.0059233393922000065,0.13728129205921938,0.1911170928667564,0.16317733990147784,0.023473379826501106,1
Heeze,10130.0,4390.0,0,1,0.0,9.871668311944719,0.0,Underserved,0.016151662999457892,0.1372161895360316,0.20384995064165845,0.2124384236453202,0.06353121279129104,4
Heijen,2490.0,1240.0,0,1,0.0,40.16064257028113,0.0,Underserved,0.003970152109442265,0.1285140562248996,0.21686746987951808,0.17118226600985223,0.022707943527810852,4
Heiloo,23220.0,10605.0,2,4,0.5,17.22652885443583,8.613264427217915,High_Coverage,0.03702286424949775,0.13753199505940675,0.17434379586520202,0.24846059113300495,0.11711175369960877,4
Heinkenszand,5555.0,2440.0,0,3,0.0,54.005400540054005,0.0,Underserved,0.008857106412832041,0.1548154815481548,0.21332133213321333,0.13669950738916256,0.04924306854907297,1
Heino,7315.0,3130.0,0,1,0.0,13.670539986329459,0.0,Underserved,0.011663318345610511,0.1394395078605605,0.1900205058099795,0.1748768472906404,0.04499064466746045,4
Helden,6400.0,2745.0,1,1,1.0,15.625,15.625,High_Coverage,0.010204407028285341,0.14140625,0.23671875,0.16317733990147784,0.07093043034529682,1
Hellendoorn,6515.0,2465.0,0,2,0.0,30.69838833461243,0.0,Underserved,0.010387767467074843,0.1488871834228703,0.19493476592478895,0.19950738916256158,0.03231842150025514,4
Hellevoetsluis,12395.0,5660.0,0,2,0.0,16.135538523598225,0.0,Underserved,0.019763066424312,0.1608470395219563,0.23681549767845927,0.12222906403940886,0.1318251403299881,1
Helmond,50805.0,23440.0,4,10,0.4,19.683102056884163,7.873240822753666,High_Coverage,0.08100545298000573,0.15276700408423563,0.2569914859720542,0.15286330049261082,0.14787804048307535,1
Helvoirt,4985.0,2130.0,0,1,0.0,20.060180541624874,0.0,Underserved,0.007948276411875378,0.14844533600802406,0.20661985957873621,0.2309113300492611,0.036400748426603166,1
Hem,1585.0,720.0,0,1,0.0,63.09148264984228,0.0,Underserved,0.0025271851780987913,0.15141955835962145,0.22712933753943218,0.1853448275862069,0.018795713556727333,4
Hendrik-Ido-Ambacht,9090.0,3660.0,1,2,0.5,22.002200220022,11.001100110011,High_Coverage,0.014493446857361522,0.21617161716171618,0.26127612761276126,0.17795566502463053,0.13905426092872938,0
Hengelo,68290.0,31890.0,5,11,0.45454545454545453,16.107775662615317,7.32171621027969,High_Coverage,0.10888421186900092,0.13448986352103762,0.2392894504420127,0.1315095003518649,0.14725536412898207,2
Herpen,2925.0,1240.0,1,1,1.0,34.18803418803419,34.18803418803419,High_Coverage,0.004663732899646035,0.12307692307692308,0.20683760683760682,0.17733990147783252,0.025429494812042864,1
Herten,8185.0,3275.0,0,1,0.0,12.217470983506415,0.0,Underserved,0.013050479926018049,0.19609040928527796,0.23213194868662188,0.17980295566502463,0.07509780574927709,0
Herveld,3185.0,1330.0,1,1,1.0,31.39717425431711,31.39717425431711,High_Coverage,0.005078286935170127,0.1664050235478807,0.22291993720565148,0.1921182266009852,0.034614730396325906,4
