name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Louwers Fietsen,cortina,www.louwersfietsen.nl,ChIJAbs2fxHExkcRyDRUpf-UqsU,17,Doornboomstraat,Netherlands,5091 CA,Louwers Fietsen,"Doornboomstraat 17, 5091 CA Oost-, West- en Middelbeers, Netherlands",4.7,24,51.4678070,5.2496503,https://www.google.com/maps/place/?q=place_id:ChIJAbs2fxHExkcRyDRUpf-UqsU
De Fietsenmaker Venlo B.V.,cortina,www.defietsenmakervenlo.nl/,ChIJawDmgptax0cRrXx4TvIK--M,78,Leutherweg,Netherlands,5915 CJ,De Fietsenmaker Venlo,"Leutherweg 78, 5915 CJ Venlo, Netherlands",4.6,75,51.3576469,6.1837729,https://www.google.com/maps/place/?q=place_id:ChIJawDmgptax0cRrXx4TvIK--M
Van Der Vlies Tweewielers,cortina,,ChIJmVw1DdtRxkcR_ZV93xBI6eg,24,Koenestraat,Netherlands,3958 XG,van der vlies tweewielers,"Koenestraat 24, 3958 XG Amerongen, Netherlands",5.0,2,52.0017393,5.4607517,https://www.google.com/maps/place/?q=place_id:ChIJmVw1DdtRxkcR_ZV93xBI6eg
De Bruin Fietsen (Monster),cortina,www.debruinfietsen.nl/,ChIJnwSYYf6txUcRP2F8zA4N5ZA,246,Molenstraat,Netherlands,2681 BZ,The Brown Bike and Fitness,"Molenstraat 246, 2681 BZ Monster, Netherlands",4.9,80,52.0298868,4.1780135,https://www.google.com/maps/place/?q=place_id:ChIJnwSYYf6txUcRP2F8zA4N5ZA
Van Den BergS Rijwielspeciaalzaak (Doorn),cortina,www.vandenbergdoorn.nl/,ChIJqcqQRXtbxkcRR3Za6f077Qg,57,Amersfoortseweg,Netherlands,3941 EK,Fietsspecialist van den Berg,"Amersfoortseweg 57, 3941 EK Doorn, Netherlands",4.0,52,52.0376362,5.3454258,https://www.google.com/maps/place/?q=place_id:ChIJqcqQRXtbxkcRR3Za6f077Qg
Ber Koning Fiets-Sport,cortina,www.berkoning.nl,ChIJQ4I_4q4FxkcR6qi-g7skVEQ,12,Noordeinde,Netherlands,1141 AM,Ber Koning,"Noordeinde 12, 1141 AM Monnickendam, Netherlands",4.5,31,52.4596519,5.0355930,https://www.google.com/maps/place/?q=place_id:ChIJQ4I_4q4FxkcR6qi-g7skVEQ
Bike Totaal Theo Bruning,cortina,www.biketotaal.nl/fietsenwinkel/bike-totaal-theo-bruning,ChIJp6y41zbmt0cRfKstUoeuWbw,82,Weerdingerstraat,Netherlands,7815 SG,Bike Totaal Theo Bruning - Fietsenwinkel en fietsreparatie,"Weerdingerstraat 82, 7815 SG Emmen, Netherlands",4.6,65,52.7945155,6.8989647,https://www.google.com/maps/place/?q=place_id:ChIJp6y41zbmt0cRfKstUoeuWbw
Fietsvoordeelshop.Nl (Amstelveen),cortina,www.fietsvoordeelshop.nl,ChIJGWbhfYQKxkcR9wWfit9xVLo,2-10,Johannes Calvijnlaan,Netherlands,1185 BL,Fietsvoordeelshop.nl - Amstelveen,"Johannes Calvijnlaan 2-10, 1185 BL Amstelveen, Netherlands",4.0,159,52.2961342,4.8622453,https://www.google.com/maps/place/?q=place_id:ChIJGWbhfYQKxkcR9wWfit9xVLo
Nic Smulders B.V.,cortina,www.smuldersfietsen.nl,ChIJT5EGY7kGx0cRUnLRC_okGWY,17,Kraanvogelstraat,Netherlands,6601 DH,Smulders Cycling,"Kraanvogelstraat 17, 6601 DH Wijchen, Netherlands",4.2,85,51.8131641,5.7341140,https://www.google.com/maps/place/?q=place_id:ChIJT5EGY7kGx0cRUnLRC_okGWY
Bakker Fietsverhuur,cortina,www.bakker.fietsenverhuur.nl,ChIJB9zhDJ8lyUcRQPXfSC9g1OU,6,Molenweg,Netherlands,8894 KP,Bakker Fietsverhuur,"Molenweg 6, 8894 KP Formerum, Netherlands",4.5,29,53.3898485,5.3034365,https://www.google.com/maps/place/?q=place_id:ChIJB9zhDJ8lyUcRQPXfSC9g1OU
Piet Van Iersel,cortina,www.pietvaniersel.nl/,ChIJcXRxEtK_xkcRX7A0TD1QHBE,164,Enschotsestraat,Netherlands,5014 DJ,Piet van Iersel B.V.,"Enschotsestraat 164, 5014 DJ Tilburg, Netherlands",4.4,107,51.5629049,5.0960639,https://www.google.com/maps/place/?q=place_id:ChIJcXRxEtK_xkcRX7A0TD1QHBE
Smit Fietsen Wilnis,cortina,,ChIJGd6C6ltOZUERnbEdTQvz35g,4,Dorpsstraat,Netherlands,3648 AH,Smit Cycling Wilnis,"Dorpsstraat 4, 3648 AH Wilnis, Netherlands",4.8,30,52.1948837,4.9020013,https://www.google.com/maps/place/?q=place_id:ChIJGd6C6ltOZUERnbEdTQvz35g
Fietsenstunt.Nl (Wieringerwerf),cortina,www.lakkie.nl/,ChIJt4FY73e0yEcRa_yGDTwPE2c,7,Omtaplein,Netherlands,1771 CW,Fietsenstunt Wieringerwerf,"Omtaplein 7, 1771 CW Wieringerwerf, Netherlands",4.1,14,52.8545563,5.0231985,https://www.google.com/maps/place/?q=place_id:ChIJt4FY73e0yEcRa_yGDTwPE2c
Dickhof Bv Oldebroek,cortina,www.dickhofrijwielen.nl/,ChIJn2ezHyDRx0cRQjZdgVOi1nM,177-1,Zuiderzeestraatweg,Netherlands,8096 BH,Dickhof Rijwielen,"Zuiderzeestraatweg 177-1, 8096 BH Oldebroek, Netherlands",4.5,17,52.4489668,5.9023194,https://www.google.com/maps/place/?q=place_id:ChIJn2ezHyDRx0cRQjZdgVOi1nM
Van Ingen Tweewielers,cortina,www.vaningentweewielers.nl/,ChIJEzCw_U_Ax0cROEneytDXHaQ,44,Oude Rijksstraatweg,Netherlands,7391 ME,Van Ingen Tweewielers V.O.F.,"Oude Rijksstraatweg 44, 7391 ME Twello, Netherlands",4.7,79,52.2370851,6.0891947,https://www.google.com/maps/place/?q=place_id:ChIJEzCw_U_Ax0cROEneytDXHaQ
Hollandbikeshop.Com,cortina,www.hollandbikeshop.com,ChIJmedrWaO3xUcRY4toGTcWZTQ,22,Molenweer,Netherlands,2291 NR,Hollandbikeshop.com,"Molenweer 22, 2291 NR Wateringen, Netherlands",3.9,849,52.0172836,4.2804662,https://www.google.com/maps/place/?q=place_id:ChIJmedrWaO3xUcRY4toGTcWZTQ
Tweewielers Van Meerten,cortina,www.tweewielersvanmeerten.nl,ChIJ_UxIazVvxkcRy_SNnnJeHYg,85-89,Jan van Galenstraat,Netherlands,3572 LD,Tweewielers Van Meerten,"Jan van Galenstraat 85-89, 3572 LD Utrecht, Netherlands",4.3,53,52.1021089,5.1361957,https://www.google.com/maps/place/?q=place_id:ChIJ_UxIazVvxkcRy_SNnnJeHYg
Profile Wigger De Fietsspecialist Bv,cortina,www.profilewigger.nl,ChIJ-UJTBsEzxkcR4DrVUt9n9_Q,10,Deventerweg,Netherlands,3843 GD,profile Wigger,"Deventerweg 10, 3843 GD Harderwijk, Netherlands",4.4,47,52.3366194,5.6332676,https://www.google.com/maps/place/?q=place_id:ChIJ-UJTBsEzxkcR4DrVUt9n9_Q
Budget Fietsen,cortina,www.budgetfietsen.nl/,ChIJAYJJRbwmx0cRa3Hu06YsU80,100,Dorpsstraat,Netherlands,5731 JK,Budgetfietsen.mierlo,"Dorpsstraat 100, 5731 JK Mierlo, Netherlands",4.0,65,51.4432284,5.6129387,https://www.google.com/maps/place/?q=place_id:ChIJAYJJRbwmx0cRa3Hu06YsU80
Profile Van Den Driest B.V.,cortina,www.profilevandendriest.nl/,ChIJx0nY7NmQxEcR0EAlL2Fd19E,22,Zusterstraat,Netherlands,4331 KK,Profile van den Driest,"Zusterstraat 22, 4331 KK Middelburg, Netherlands",4.4,52,51.4971917,3.6117129,https://www.google.com/maps/place/?q=place_id:ChIJx0nY7NmQxEcR0EAlL2Fd19E
Klootwijk Tweewielers B.V.,cortina,www.defietsenvan.nl,ChIJBSjyhYEyxEcRswGaTFLLZvY,87-89,Dijkje,Netherlands,2987 VJ,De fietsen van Ridderkerk (voorheen Giant Store Klootwijk),"Dijkje 87-89, 2987 VJ Ridderkerk, Netherlands",4.7,98,51.8953571,4.5748566,https://www.google.com/maps/place/?q=place_id:ChIJBSjyhYEyxEcRswGaTFLLZvY
Mantel (Arnhem Noord) Tweewielers En Sport,cortina,www.mantel-tweewielers.nl,ChIJd9uJa7ulx0cR43cGFCfC3p4,95,Van Lawick van Pabststraat,Netherlands,6814 HC,Mantel Cycling Arnhem North,"Van Lawick van Pabststraat 95, 6814 HC Arnhem, Netherlands",4.6,91,51.9892090,5.8947580,https://www.google.com/maps/place/?q=place_id:ChIJd9uJa7ulx0cR43cGFCfC3p4
Eurobike Utrecht Ii,cortina,www.eurobike-utrecht.eu/,ChIJ_1RmYC9vxkcRDqxikzkt2Cc,12,Euterpedreef,Netherlands,3561 CV,Eurobike Utrecht,"Euterpedreef 12, 3561 CV Utrecht, Netherlands",3.9,59,52.1154510,5.1273984,https://www.google.com/maps/place/?q=place_id:ChIJ_1RmYC9vxkcRDqxikzkt2Cc
Euro Tweewielers,cortina,www.eurotweewielers.nl/,ChIJkeCmF43GxUcRARUPzzuIRBU,143,Breestraat,Netherlands,2311 CM,euro Tweewielers,"Breestraat 143, 2311 CM Leiden, Netherlands",4.8,44,52.1571242,4.4915405,https://www.google.com/maps/place/?q=place_id:ChIJkeCmF43GxUcRARUPzzuIRBU
Het Zwarte Fietsenplan (Spaarndammerstr),cortina,,ChIJn0wQTSAJxkcRGN3QeyXKrzk,141,Spaarndammerstraat,Netherlands,1013 TG,Het Zwarte Fietsenplan Spaarndammerbuurt,"Spaarndammerstraat 141, 1013 TG Amsterdam, Netherlands",4.6,55,52.3912553,4.8779896,https://www.google.com/maps/place/?q=place_id:ChIJn0wQTSAJxkcRGN3QeyXKrzk
Dracat,cortina,,ChIJRTkeqtkHxkcROMM5pGwGXUM,2-E,Tormentilstraat,Netherlands,1121 BR,V.O.F. Dral-Landsmeer,"Tormentilstraat 2-E, 1121 BR Landsmeer, Netherlands",4.9,33,52.4331106,4.9152954,https://www.google.com/maps/place/?q=place_id:ChIJRTkeqtkHxkcROMM5pGwGXUM
Van Wijk Fiets En Onderhoud,cortina,www.fietsenonderhoud.nl,ChIJK3kt3fwJxkcRe-3eWrJqSTo,181H,Willemsparkweg,Netherlands,1071 HA,van Wijk Fiets en Onderhoud,"Willemsparkweg 181-H, 1071 HA Amsterdam, Netherlands",4.4,35,52.3557924,4.8702815,https://www.google.com/maps/place/?q=place_id:ChIJK3kt3fwJxkcRe-3eWrJqSTo
Van Brunschot Tweewielers,cortina,,ChIJh9vZi6vgxkcRskF7hfZH92Y,1A,Hertog Hendrikstraat,Netherlands,5492 BA,Van Brunschot Tweewielers,"Hertog Hendrikstraat 1A, 5492 BA Sint-Oedenrode, Netherlands",4.6,19,51.5619701,5.4617418,https://www.google.com/maps/place/?q=place_id:ChIJh9vZi6vgxkcRskF7hfZH92Y
Profile Erik Bruning Klazienaveen,cortina,www.profilebruning.nl,ChIJSyUMYpDut0cRHGRkeStQMHE,157,Langestraat,Netherlands,7891 GK,Profile Erik Brüning - Klazienaveen,"Langestraat 157, 7891 GK Klazienaveen, Netherlands",4.6,30,52.7240706,6.9991557,https://www.google.com/maps/place/?q=place_id:ChIJSyUMYpDut0cRHGRkeStQMHE
Theo Schilder Tweewielers (Koe),cortina,www.theoschilder.nl/,ChIJMdt0q7JXz0cRQOEV3iUu_ls,31,Koedijkerstraat,Netherlands,1823 CR,Theo Schilder Tweewielers Alkmaar,"Koedijkerstraat 31, 1823 CR Alkmaar, Netherlands",4.6,219,52.6393760,4.7554498,https://www.google.com/maps/place/?q=place_id:ChIJMdt0q7JXz0cRQOEV3iUu_ls
Meijer De Fietsspecialist (Winschoten) B.V.,cortina,www.meijer-fietsen.nl/,ChIJMwOmlnPNt0cRXcibo_IUQ6Q,2E,Papierbaan,Netherlands,9672 BH,Meijer De Fiets Specialist,"Papierbaan 2E, 9672 BH Winschoten, Netherlands",4.5,23,53.1495840,7.0517913,https://www.google.com/maps/place/?q=place_id:ChIJMwOmlnPNt0cRXcibo_IUQ6Q
Rijwielhandel Borsen,cortina,www.rijwielhandelborsen.nl,ChIJFz5B8xQVxkcR2-ee0fV0_bA,9-A,Tweede Molenweg,Netherlands,1261 HA,Rijwielhandel Borsen,"Tweede Molenweg 9-A, 1261 HA Blaricum, Netherlands",4.9,14,52.2701977,5.2465443,https://www.google.com/maps/place/?q=place_id:ChIJFz5B8xQVxkcR2-ee0fV0_bA
Frs Fietsen,cortina,www.frsfietsen.nl/,ChIJkf1yk-MuxEcRY6TcGKFoKWU,30,IJsselmeer,Netherlands,3332 EX,FRS Cycling,"IJsselmeer 30, 3332 EX Zwijndrecht, Netherlands",4.6,146,51.8222587,4.6487426,https://www.google.com/maps/place/?q=place_id:ChIJkf1yk-MuxEcRY6TcGKFoKWU
De Munnikvelder,cortina,,ChIJ5_XIlZkExkcRloCEW7BPehU,2,Burgemeester van Baarstraat,Netherlands,1131 WT,Munnikvelder Tweewielers,"Burgemeester van Baarstraat 2, 1131 WT Volendam, Netherlands",4.9,10,52.4995333,5.0731440,https://www.google.com/maps/place/?q=place_id:ChIJ5_XIlZkExkcRloCEW7BPehU
Boom Tweewielers (Schoonhoven),cortina,www.boomtweewielers.nl/,ChIJ-THMpEt-xkcRDXCiP3_GCdM,9,Kerkstraat,Netherlands,2871 ED,Bike Totaal Boom Tweewielers - Fietsenwinkel en fietsreparatie,"Kerkstraat 9, 2871 ED Schoonhoven, Netherlands",4.7,26,51.9464966,4.8509766,https://www.google.com/maps/place/?q=place_id:ChIJ-THMpEt-xkcRDXCiP3_GCdM
Jos Klijn Hesselink Tweewielers,cortina,www.josklijnhesselinktweewielers.nl,ChIJa2ztWjiHx0cRACxahQCu_pY,5,Burgemeester van der Zandestraat,Netherlands,7051 CS,Jos Klijn Hesselink Tweewielers,"Burgemeester van der Zandestraat 5, 7051 CS Varsseveld, Netherlands",4.8,39,51.9418650,6.4642288,https://www.google.com/maps/place/?q=place_id:ChIJa2ztWjiHx0cRACxahQCu_pY
Beck Tweewielers,cortina,www.becktweewielers.nl/,ChIJw8RtnQ6pyEcRzPnMZgHu3PE,23,Koepoortsweg,Netherlands,1624 AB,Beck Tweewielers,"Koepoortsweg 23, 1624 AB Hoorn, Netherlands",3.8,41,52.6451091,5.0583925,https://www.google.com/maps/place/?q=place_id:ChIJw8RtnQ6pyEcRzPnMZgHu3PE
Van Der Schaft Tweewielers,cortina,,ChIJ0etK1o_fxUcRv-bd8b102XQ,41,Dorpsstraat,Netherlands,1421 AS,Van der Schaft Tweewielers,"Dorpsstraat 41, 1421 AS Uithoorn, Netherlands",3.0,47,52.2329154,4.8313793,https://www.google.com/maps/place/?q=place_id:ChIJ0etK1o_fxUcRv-bd8b102XQ
Bike Totaal Krimpen,cortina,,ChIJiVk7c0UtxEcRVWJaqySrvI0,27-29,Parkzoom,Netherlands,2922 CT,Bike Totaal Krimpen - Koopjebakfiets.nl,"Parkzoom 27-29, 2922 CT Krimpen aan den IJssel, Netherlands",4.6,111,51.9200877,4.5972132,https://www.google.com/maps/place/?q=place_id:ChIJiVk7c0UtxEcRVWJaqySrvI0
De Baronie Tweewielers Bv,cortina,,ChIJqWTMkwqfxkcRHeatau1GWtU,24,Moerwijk,Netherlands,4826 HN,De Baronie Tweewielers,"Moerwijk 24, 4826 HN Breda, Netherlands",4.5,13,51.6075995,4.7899023,https://www.google.com/maps/place/?q=place_id:ChIJqWTMkwqfxkcRHeatau1GWtU
Profile Rudie Assink,cortina,,ChIJfQ-4EuHlx0cRoeQrm0WAFFg,20,Deventerstraat,Netherlands,8102 GC,Profile Rudie Assink,"Deventerstraat 20, 8102 GC Raalte, Netherlands",4.5,17,52.3829954,6.2744264,https://www.google.com/maps/place/?q=place_id:ChIJfQ-4EuHlx0cRoeQrm0WAFFg
Cooiman Fietsen,cortina,www.cooimanfietsen.nl,ChIJoWWGwFt8xkcRiJJNSSHGnNQ,2,Wielsekade,Netherlands,3411 AA,Cooiman Fietsen,"Wielsekade 2, 3411 AA Lopik, Netherlands",4.3,31,51.9748854,4.9492679,https://www.google.com/maps/place/?q=place_id:ChIJoWWGwFt8xkcRiJJNSSHGnNQ
Superfietsen Delft,cortina,www.adobike.nl,ChIJ3dGUD7y1xUcRDGztyOqLnzs,474 A,Papsouwselaan,Netherlands,2624 EP,Ado bike,"Papsouwselaan 474 A, 2624 EP Delft, Netherlands",4.5,274,51.9983035,4.3545301,https://www.google.com/maps/place/?q=place_id:ChIJ3dGUD7y1xUcRDGztyOqLnzs
Kuyper Fietsen,cortina,,ChIJcVjsJb7hxkcRvV1aBgYCEJE,6,Hoogstraat,Netherlands,5462 CX,Kuyper Fietsen,"Hoogstraat 6, 5462 CX Veghel, Netherlands",4.4,21,51.6157848,5.5409040,https://www.google.com/maps/place/?q=place_id:ChIJcVjsJb7hxkcRvV1aBgYCEJE
De Fietsenwinkel Huizen,cortina,www.defietsenwinkel.nl/,ChIJlaecIa4VxkcRfn7j-UM684I,27,Kerkstraat,Netherlands,1271 RJ,De Fietsenwinkel Huizen-The Bike Jewelry,"Kerkstraat 27, 1271 RJ Huizen, Netherlands",3.8,36,52.2984000,5.2365600,https://www.google.com/maps/place/?q=place_id:ChIJlaecIa4VxkcRfn7j-UM684I
De Fietsen Van Capelle,cube,https://www.fietsenmakercapelle.nl,ChIJx6CvulzNxUcRIiisJA1hC30,18C,Stationsplein,Netherlands,2907 MJ,De fietsen van Capelle (voorheen Fiets en Maker),"Stationsplein 18C, 2907 MJ Capelle aan den IJssel, Netherlands",4.8,115,51.9538115,4.5845504,https://www.google.com/maps/place/?q=place_id:ChIJx6CvulzNxUcRIiisJA1hC30
Tromm Tweewielers,cube,https://www.tromm.nl,ChIJDztJSiAKxkcR0ceVgTa3qFQ,45,Europaplein,Netherlands,1078 GV,Tromm Tweewielers,"Europaplein 45, 1078 GV Amsterdam, Netherlands",4.3,111,52.3430180,4.8922066,https://www.google.com/maps/place/?q=place_id:ChIJDztJSiAKxkcR0ceVgTa3qFQ
Fietsen In Ijmuiden,cube,https://www.kokijmuiden.nl,ChIJO98YhMjxxUcRw_G65_Wz9cc,13,Marktplein,Netherlands,1972 GA,Fietsen in IJmuiden,"Marktplein 13, 1972 GA IJmuiden, Netherlands",4.8,36,52.4590123,4.6165526,https://www.google.com/maps/place/?q=place_id:ChIJO98YhMjxxUcRw_G65_Wz9cc
Lindenholz Rijwielen Schaatsen En Skeelers,cube,https://www.lindenholz.nl,ChIJ5UcZ45d0yEcR9VQUjAJyyVU,2-4,Prunuslaan,Netherlands,7954 GD,Lindenholz Bicycles Skating and Skeelers,"Prunuslaan 2-4, 7954 GD Rouveen, Netherlands",4.8,111,52.6156405,6.1859323,https://www.google.com/maps/place/?q=place_id:ChIJ5UcZ45d0yEcR9VQUjAJyyVU
Bike Totaal Mient De Vries Centrum,cube,https://www.mientdevries.nl,ChIJncsCPCr8yEcRmrErfzEAbCc,1,Pier Panderstraat,Netherlands,8913 CH,Bike Totaal Mient de Vries,"Pier Panderstraat 1, 8913 CH Leeuwarden, Netherlands",4.5,134,53.2028077,5.7874050,https://www.google.com/maps/place/?q=place_id:ChIJncsCPCr8yEcRmrErfzEAbCc
NicoS Fietsen,cube,https://www.nicosfietsplus.nl,ChIJZ2e1IEm_xUcRfnOUYZiRPj8,82B,Zeeweg,Netherlands,2224 CG,Nico's Cycling,"Zeeweg 82B, 2224 CG Katwijk aan Zee, Netherlands",4.6,112,52.2025484,4.4089898,https://www.google.com/maps/place/?q=place_id:ChIJZ2e1IEm_xUcRfnOUYZiRPj8
Fietsvoordeelshop.Nl Heerlen,cube,https://www.fietsvoordeelshop.nl,ChIJ6z6c6iS9wEcRCbSl0US3dhw,81,Laanderstraat,Netherlands,6411 VB,Fietsvoordeelshop.nl - Heerlen,"Laanderstraat 81, 6411 VB Heerlen, Netherlands",4.6,37,50.8895774,5.9700038,https://www.google.com/maps/place/?q=place_id:ChIJ6z6c6iS9wEcRCbSl0US3dhw
Fietsenwinkel.Nl Arnhem,cube,https://www.fietsenwinkel.nl,ChIJT1I14TWkx0cRGL4Tqz1g0vE,12,Boulevard Heuvelink,Netherlands,6828 KP,Fietsenwinkel.nl | Arnhem,"Boulevard Heuvelink 12, 6828 KP Arnhem, Netherlands",4.3,155,51.9780317,5.9172900,https://www.google.com/maps/place/?q=place_id:ChIJT1I14TWkx0cRGL4Tqz1g0vE
Het Rijwielhuis,cube,https://www.hetrijwielhuis.nl,ChIJi1kuCmssxEcRUc5lh893j7I,,,Netherlands,2953 AS,Het Rijwielhuis,"Van Hogendorpweg 8a 10a 12a, 2953 AS Alblasserdam, Netherlands",4.8,20,51.8685346,4.6552925,https://www.google.com/maps/place/?q=place_id:ChIJi1kuCmssxEcRUc5lh893j7I
Fietsspecialist Walstock Maastricht,cube,http://www.walstock.nl,ChIJLROU50zowEcRIbhOIzWZ48o,160 A,Ruttensingel,Netherlands,6214 SV,Fietsspecialist Walstock,"Ruttensingel 160 A, 6214 SV Maastricht, Netherlands",4.0,94,50.8441960,5.6753285,https://www.google.com/maps/place/?q=place_id:ChIJLROU50zowEcRIbhOIzWZ48o
De Wolf Fietsen,cube,https://www.dewolfdelft.nl,ChIJiRwE0-m1xUcRajotmoEnlmk,217,Oosteinde,Netherlands,2611 VE,Wolf Cycling,"Oosteinde 215, Oosteinde 217, 2611 VE Delft, Netherlands",4.5,222,52.0123361,4.3627846,https://www.google.com/maps/place/?q=place_id:ChIJiRwE0-m1xUcRajotmoEnlmk
Tweewielerspecialist Theo Lommen Horst,cube,https://www.theolommen.nl,ChIJU6b4SFBBx0cRDA8hA2oQZtE,12,Kloosterstraat,Netherlands,5961 GE,Lommen Tweewielers,"Kloosterstraat 12, 5961 GE Horst, Netherlands",4.3,25,51.4516822,6.0515653,https://www.google.com/maps/place/?q=place_id:ChIJU6b4SFBBx0cRDA8hA2oQZtE
Profile Baan,cube,http://www.marquardt-fahrrad.de/,ChIJk1gHoP35x0cRLzYarBK-dbU,77,Boomcateweg,Netherlands,7442 BG,Profile Willem Baan,"Boomcateweg 77, 7442 BG Nijverdal, Netherlands",4.7,51,52.3551470,6.4921932,https://www.google.com/maps/place/?q=place_id:ChIJk1gHoP35x0cRLzYarBK-dbU
Meulenkamp Tweewielers,cube,https://www.meulenkamptweewielers.nl,ChIJ_dnRQDUPuEcRUMO8tIDCQy0,5,Tusveld,Netherlands,7627 NV,Meulenkamp Tweewielers,"Tusveld 5, 7627 NV Bornerbroek, Netherlands",4.8,59,52.3197652,6.6938474,https://www.google.com/maps/place/?q=place_id:ChIJ_dnRQDUPuEcRUMO8tIDCQy0
Fietsen & Koffie Bv,cube,http://www.fietsenenkoffie.nl,ChIJHWMq3xwlyEcRhV3PdoEXROI,17A,Groningerstraat,Netherlands,9401 BG,Bikes and coffee,"Groningerstraat 17A, 9401 BG Assen, Netherlands",4.1,75,52.9968523,6.5636193,https://www.google.com/maps/place/?q=place_id:ChIJHWMq3xwlyEcRhV3PdoEXROI
Profile Bleumink Vorden,cube,https://www.profilebleumink.nl,ChIJazrCPP6Rx0cRrmkZUJ_MkUM,12,Dorpsstraat,Netherlands,7251 BB,Profile Bleumink - Vorden,"Dorpsstraat 12, 7251 BB Vorden, Netherlands",4.8,33,52.1035961,6.3140683,https://www.google.com/maps/place/?q=place_id:ChIJazrCPP6Rx0cRrmkZUJ_MkUM
Bike Totaal Apeldoorn,cube,https://www.johnvermeuleneindhoven.nl,ChIJ_SOUvkK4x0cRA1-yFm_c75M,96,Laan van Westenenk,Netherlands,7336 AZ,Bike Total Apeldoorn,"Laan van Westenenk 96, 7336 AZ Apeldoorn, Netherlands",3.7,60,52.1902811,5.9402551,https://www.google.com/maps/place/?q=place_id:ChIJ_SOUvkK4x0cRA1-yFm_c75M
Banierhuis Vleuterweide,cube,https://www.banierhuis.nl,ChIJ-97UbQ5wxkcRbO79whgOCFI,18,Noorderburcht,Netherlands,3452 ME,Fietsenwinkel Vleuten - Banierhuis,"Noorderburcht 18, 3452 ME Utrecht, Netherlands",3.8,68,52.0939241,5.0124623,https://www.google.com/maps/place/?q=place_id:ChIJ-97UbQ5wxkcRbO79whgOCFI
Ten Veen Tweewielers Steenwijk,cube,https://www.tenveentweewielers.nl,ChIJjWhWYLluyEcRu-UUlO8nIcA,1,Woldpoort,Netherlands,8331 KP,Ten Veen 2wielers,"Woldpoort 1, 8331 KP Steenwijk, Netherlands",4.7,20,52.7876082,6.1121507,https://www.google.com/maps/place/?q=place_id:ChIJjWhWYLluyEcRu-UUlO8nIcA
Bike Totaal Schraverus - Triasgracht,cube,http://www.schraverusfietsen.n,ChIJnajI5VkxxkcRVyw51HFxKPk,,Triasgracht,Netherlands,3845 DZ,Bike Total Schraverus Three Countries,"Triasgracht, 3845 DZ Harderwijk, Netherlands",4.5,16,52.3250585,5.6022238,https://www.google.com/maps/place/?q=place_id:ChIJnajI5VkxxkcRVyw51HFxKPk
Biketotaal Strijen,cube,https://www.mantel.com,ChIJOwEHpEolxEcRqVNH1dQNLv8,4,Kerkstraat,Netherlands,3291 AL,Bike Totaal van der Koog - Fietsenwinkel en fietsreparatie,"Kerkstraat 4, 3291 AL Strijen, Netherlands",4.7,18,51.7434619,4.5536657,https://www.google.com/maps/place/?q=place_id:ChIJOwEHpEolxEcRqVNH1dQNLv8
Schietecat Tweewielers,cube,https://www.schietecat.nl,ChIJLzkG9YGfxkcRtY5sarvVEr0,3,Korte Boschstraat,Netherlands,4811 ES,Schietecat wheelers,"Korte Boschstraat 3, 4811 ES Breda, Netherlands",4.1,75,51.5912737,4.7839817,https://www.google.com/maps/place/?q=place_id:ChIJLzkG9YGfxkcRtY5sarvVEr0
Banierhuis Houten,cube,https://www.banierhuis.nl/filialen/hou,ChIJW9xUZfBmxkcRw6jsI8ehfsQ,1,Vlierweg,Netherlands,3991 BA,Fietsenwinkel Houten - Banierhuis,"Vlierweg 1, 3991 BA Houten, Netherlands",4.0,103,52.0271842,5.1630923,https://www.google.com/maps/place/?q=place_id:ChIJW9xUZfBmxkcRw6jsI8ehfsQ
Mantel Superstore Den Bosch,cube,https://www.mantel.com/cube,ChIJs2jO37XvxkcRH3b_SsbT2hU,7,Balkweg,Netherlands,5232 BT,Mantel Den Bosch,"Balkweg 7, 5232 BT 's-Hertogenbosch, Netherlands",4.3,678,51.7091256,5.3343383,https://www.google.com/maps/place/?q=place_id:ChIJs2jO37XvxkcRH3b_SsbT2hU
Profile Hans Janssen - Bleiswijk,cube,https://www.looijestijntweewielers.nl/,ChIJGT24RiXMxUcRoNdIQVzKOKc,2,Hazenweg,Netherlands,2665 CZ,Hans Janssen Tweewielers,"Hazenweg 2, 2665 CZ Bleiswijk, Netherlands",4.8,44,52.0102454,4.5326754,https://www.google.com/maps/place/?q=place_id:ChIJGT24RiXMxUcRoNdIQVzKOKc
Fietsenmaker Grootstal,cube,https://www.fietsenmakergrootstal.nl,ChIJp33becAIx0cRjwyBaJGK22I,469,Hatertseweg,Netherlands,6533 GH,Fietsenmaker Grootstal Nijmegen,"Hatertseweg 469, 6533 GH Nijmegen, Netherlands",4.7,64,51.8167751,5.8414863,https://www.google.com/maps/place/?q=place_id:ChIJp33becAIx0cRjwyBaJGK22I
Profile Rodenburg - Joure,cube,https://www.profilerodenburg.nl,ChIJkU6RXY5fyEcR0I-kZALjb10,2,De Merk,Netherlands,8501 AN,Profile Rodenburg 'de fietsspecialist' - Fietsenwinkel en fietsreparatie,"De Merk 2, 8501 AN Joure, Netherlands",4.3,41,52.9651134,5.7993500,https://www.google.com/maps/place/?q=place_id:ChIJkU6RXY5fyEcR0I-kZALjb10
