name,brand,website,google_place_id,house_number,street,country,postal_code,google_name,google_address,google_rating,google_user_ratings_total,google_lat,google_lng,google_link
Giant Store Feenstra,giant,www.giantstore-feenstra-drachten.nl/nl,ChIJyUkLditOyEcRn6GKywopg2I,115,Noordkade,Netherlands,9203 CH,Giant Store Feenstra,"Noordkade 115, 9203 CH Drachten, Netherlands",4.7,25,53.1072584,6.1082929,https://www.google.com/maps/place/?q=place_id:ChIJyUkLditOyEcRn6GKywopg2I
Elan Bikes support,giant,www.elanbikessupport.nl,ChIJ0xxhXUHoxkcRNTotvISgjP0,2,Croonpassage,Netherlands,5281 AX,Elan bikes support,"Croonpassage 2, 5281 AX Boxtel, Netherlands",4.7,44,51.5887748,5.3260251,https://www.google.com/maps/place/?q=place_id:ChIJ0xxhXUHoxkcRNTotvISgjP0
Rijwielhandel Beckers,giant,www.rijwielhandelbeckers.nl,ChIJlU_vyjC-wEcRnDT4SgcvxDc,81,Barrier,Netherlands,6343 RA,Rijwielhandel Beckers,"Barrier 81, 6343 RA Klimmen, Netherlands",4.7,14,50.8790283,5.8991341,https://www.google.com/maps/place/?q=place_id:ChIJlU_vyjC-wEcRnDT4SgcvxDc
Damhuis Tweewielers,giant,www.damhuistweewielers.nl,ChIJGxjH1rYRuEcR1_NGXPclt4g,8-10,Christiaan Langefeldstraat,Netherlands,7558 CS,Damhuis tweewielers,"Christiaan Langefeldstraat 8-10, 7558 CS Hengelo, Netherlands",4.8,31,52.2843444,6.8271550,https://www.google.com/maps/place/?q=place_id:ChIJGxjH1rYRuEcR1_NGXPclt4g
Het Rijwielhuis Hem,giant,www.rijwielhuishem.nl,ChIJe2hSL2CmyEcRWsOdOFMdFnM,4,De Volharding,Netherlands,1607 MJ,Het Rijwielhuis Hem,"De Volharding 4, 1607 MJ Hem, Netherlands",4.7,23,52.6557026,5.1877733,https://www.google.com/maps/place/?q=place_id:ChIJe2hSL2CmyEcRWsOdOFMdFnM
Giant Store Arie's Bike Shop,giant,www.giantstore-ariesbikeshop.nl,ChIJx2wiVFUotkcRqSSS9HkxGEE,19,Sikkel,Netherlands,9932 BD,Arie's Bike Shop,"Sikkel 19, 9932 BD Delfzijl, Netherlands",3.6,38,53.3223209,6.8839455,https://www.google.com/maps/place/?q=place_id:ChIJx2wiVFUotkcRqSSS9HkxGEE
Fietsplezier Malden,giant,www.fietspleziermalden.nl,ChIJD-R3ZEoPx0cRLboPjfBPbXQ,1,De Hoge Brug,Netherlands,6581 AJ,FietsPlezierMalden,"De Hoge Brug 1, 6581 AJ Malden, Netherlands",4.7,34,51.7886688,5.8428113,https://www.google.com/maps/place/?q=place_id:ChIJD-R3ZEoPx0cRLboPjfBPbXQ
VOF Van Der Koog,giant,www.vanderkoog.nl,ChIJOwEHpEolxEcRqVNH1dQNLv8,4,Kerkstraat,Netherlands,3291 AL,Bike Totaal van der Koog - Fietsenwinkel en fietsreparatie,"Kerkstraat 4, 3291 AL Strijen, Netherlands",4.7,18,51.7434619,4.5536657,https://www.google.com/maps/place/?q=place_id:ChIJOwEHpEolxEcRqVNH1dQNLv8
Kleijn Tweewielers,giant,,ChIJV62XkhutxUcR_YchMT8WUV0,241,Prins Hendrikstraat,Netherlands,3151 AJ,Giant Store Kleijn Tweewielers,"Prins Hendrikstraat 241, 3151 AJ Hoek van Holland, Netherlands",4.9,61,51.9772592,4.1306809,https://www.google.com/maps/place/?q=place_id:ChIJV62XkhutxUcR_YchMT8WUV0
Bikeshop 66,giant,bikeshop66.nl/,ChIJu2JPACAKxkcRWDlVdGFFAhw,66,Scheldestraat,Netherlands,1078 GM,Bikeshop 66,"Scheldestraat 66, 1078 GM Amsterdam, Netherlands",4.7,95,52.3457864,4.8906920,https://www.google.com/maps/place/?q=place_id:ChIJu2JPACAKxkcRWDlVdGFFAhw
